stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
113076,113076,RALPH D ABERNATHY BLVD SW @ HOLDERNESS ST,0 RALPH DAVID ABERNATH & HOLDERNESS,33.738594,-84.426826,0,,,,,1
113078,113078,OGLETHORPE AVE SW @ LAWTON ST SW,0 OGLETHORPE & LAWTON,33.735711,-84.422216,,,,,,1
113080,113080,RALPH DAVID ABERNATH BLVD @ ATWOOD S,0 RALPH DAVID ABERNATHY BLVD SW & ATWOOD ST SW,33.738905,-84.429698,,,,,,1
113084,113084,RALPH D ABERNATHY BLVD SW @ LANGHORN ST SW,0 RALPH DAVID ABERNATH & LANGHORN,33.739052,-84.431803,0,,,,,1
113086,113086,OGLETHORPE AVE @ JOSEPH E LOWERY BLVD,0 OGLETHORPE & ASHBY,33.735917,-84.417404,,,,,,1
113092,113092,JOSEPH E LOWERY BLVD SW @ RALPH D ABERNATHY BLVD SW,0 JOSEPH E LOWERY BLVD SW & RALPH DAVID ABERNATHY BLVD SW,33.738364,-84.417643,0,,,,,1
113094,113094,JOSEPH E LOWERY BLVD @ 577,577 ASHBY ST SW,33.73929,-84.417629,0,,,,,0
113096,113096,JOSEPH E LOWERY BLVD @ OAK ST SW,0 JOSEPH E LOWERY BLVD SW & OAK ST SW,33.74017,-84.417656,0,,,,,1
113098,113098,JOSEPH E LOWERY BLVD @ 577,577 JOSEPH E LOWERY BLVD SW,33.739363,-84.417743,0,,,,,0
113102,113102,RALPH D ABERNATHY BLVD SW @ HOPKINS ST SW,0 RALPH DAVID ABERNATHY BLVD SW & HOPKINS ST SW,33.738886,-84.4311,,,,,,1
113104,113104,RALPH D ABERNATHY BLVD SW @ ATWOOD ST SW,0 RALPH DAVID ABERNATHY BLVD SW & ATWOOD ST SW,33.738744,-84.429155,,,,,,1
113108,113108,RALPH D ABERNATHY BLVD @ QUEEN ST SW,RALPH D ABERNATHY BLVD SW & QUEEN ST SW,33.738439,-84.425574,0,,,,,1
113112,113112,RALPH DAVID ABERNATH BLVD @ LAWTON S,0 RALPH DAVID ABERNATHY BLVD SW & LAWTON ST SW,33.738248,-84.423013,,,,,,1
113116,113116,RALPH D ABERNATHY BLVD SW @ PEEPLES ST,0 RALPH DAVID ABERNATHY BLVD SW & PEEPLES ST SW,33.738,-84.420632,0,,,,,1
113120,113120,RALPH DAVID ABERNATH BLVD SW @ JOSEPH E LOWERY BLVD,0 RALPH DAVID ABERNATH & ASHBY,33.737913,-84.418205,0,,,,,1
113122,113122,RALPH D ABERNATHY BLVD SW @ EVANS ST,0 RALPH DAVID ABERNATHY BLVD SW & EVANS ST SW,33.738149,-84.415804,0,,,,,1
113136,113136,LAWTON ST SW @ RICHLAND RD SW,0 LAWTON ST SW & RICHLAND RD SW,33.730568,-84.423405,,,,,,1
113138,113138,LAWTON ST SW @ MONTREAT AVE SW,0 LAWTON ST SW & MONTREAT AVE SW,33.729646,-84.423383,,,,,,1
113140,113140,LAWTON ST SW @ MERRILL AVE SW,0 LAWTON ST SW & MERRILL AVE SW,33.728679,-84.423381,,,,,,1
113142,113142,MERRILL AVE SW @ HALL ST SW,0 MERRILL & HALL,33.728714,-84.425438,,,,,,1
113144,113144,MERRILL AVE SW @ OAKLAND DR SW,0 MERRILL & OAKLAND,33.728752,-84.427017,,,,,,0
113148,113148,OAKLAND DR SW @ MERRILL AVE SW,0 OAKLAND DR SW & MERRILL AVE SW,33.728551,-84.427152,,,,,,1
113150,113150,MERRILL AVE SW @ HALL ST SW,0 MERRILL AVE SW & HALL ST SW,33.728641,-84.425631,,,,,,1
113152,113152,MERRILL AVE SW @ LAWTON ST SW,0 MERRILL AVE SW & LAWTON ST SW,33.728608,-84.423381,,,,,,0
113154,113154,LAWTON ST SW @ MONTREAT AVE SW,0 LAWTON & MONTREAT,33.729511,-84.423279,,,,,,1
113156,113156,LAWTON ST SW @ RICHLAND RD SW,0 LAWTON & RICHLAND,33.730488,-84.423294,,,,,,1
113166,113166,RALPH D ABERNATHY BLVD SW @ DUNN ST SW,0 RALPH DAVID ABERNATHY BLVD SW & DUNN ST SW,33.738295,-84.415836,0,,,,,1
113174,113174,OGLETHORPE AVE SW @ LAWTON ST SW,0 OGLETHORPE AVE SW & LAWTON ST SW,33.735841,-84.422032,,,,,,1
114014,114014,RALPH D ABERNATHY BLVD @ MURPHY AVE,0 RALPH DAVID ABERNATH & MURPHY,33.738295,-84.411809,0,,,,,1
114016,114016,RALPH D ABERNATHY BLVD @ MURPHY AVE,0 RALPH DAVID ABERNATHY BLVD SW & WELLS ST SW,33.738204,-84.411731,0,,,,,1
114050,114050,LEE ST SW @ OAK ST SW,0 LEE & OAK,33.741001,-84.414182,0,,,,,1
114054,114054,LEE ST SW @ RALPH DAVID ABERNATH BLVD,0 LEE & RALPH DAVID ABERNATH,33.739411,-84.414143,0,,,,,1
114056,114056,LEE ST @ RALPH DAVID ABERNATH BLVD,0 LEE & RALPH DAVID ABERNATH,33.738441,-84.414165,0,,,,,1
114068,114068,METROPOLITAN PKWY SW @ BROOKLINE ST SW,0 METROPOLITAN & BROOKLINE,33.727154,-84.408112,,,,,,1
114072,114072,METROPOLITAN PKWY SW @ MARY ST,0 METROPOLITAN PKY SW & MARY ST SW,33.728767,-84.40807,0,,,,,1
114076,114076,METROPOLITAN PKWY SW @ ROCKWELL ST SW,0 METROPOLITAN & LILIAN AVE,33.7313,-84.408166,0,,,,,1
114078,114078,METROPOLITAN PKWY SW @ CHRISTMAN ST SW,0 METROPOLITAN & CHRISTMAN,33.736042,-84.408287,,,,,,1
114079,114079,METROPOLITAN PKWY SW @ SHELTON AVE SW,0 METROPOLITAN & SHELTON,33.734742,-84.408351,,,,,,1
114082,114082,RALPH D ABERNATHY BLVD @ W WHITEHALL ST,0 RALPH DAVID ABERNATHY BLVD SW & LEE ST SW,33.738185,-84.413155,0,,,,,1
114088,114088,METROPOLITAN PKWY SW @ BROOKLINE ST SW,0 METROPOLITAN & BROOKLINE,33.727286,-84.407664,0,,,,,1
114089,114089,METROPOLITAN PKWY SW @ ARTHUR ST SW,0 METROPOLITAN & ARTHUR,33.727967,-84.407812,,,,,,1
114092,114092,METROPOLITAN PKWY SW @ MARY ST SW,0 METROPOLITAN & MARY,33.729164,-84.407906,,,,,,1
114096,114096,METROPOLITAN PKWY SW @ LILLIAN AVE,0 METROPOLITAN & LILLIAN AVE,33.7309,-84.408033,0,,,,,1
114100,114100,METROPOLITAN PKWY SW @ SHELTON AVE SW,0 METROPOLITAN & SHELTON,33.734077,-84.407982,,,,,,1
114102,114102,METROPOLITAN PKWY SW @ CHRISTMAN ST SW,0 METROPOLITAN & CHRISTMAN,33.735695,-84.408012,,,,,,1
114104,114104,METROPOLITAN PKWY SW @ BRONNER BROS WAY,0 METROPOLITAN PKWY SW & BRONNER BROS WAY,33.737442,-84.407921,0,,,,,1
114106,114106,MCDANIEL ST SW @ FULTON ST SW,0 MCDANIEL & FULTON,33.741373,-84.402763,0,,,,,1
114110,114110,MCDANIEL ST SW @ 565,,33.740325,-84.40258,0,,,,,1
114112,114112,MCDANIEL ST SW @ 565,,33.740148,-84.402298,0,,,,,1
114114,114114,MCDANIEL ST SW @ GLENN ST SW,0 MCDANIEL ST SW & GLENN ST SW,33.738252,-84.401808,0,,,,,1
114116,114116,MCDANIEL ST SW @ GLENN ST SW,0 MCDANIEL ST SW & GLENN ST SW,33.738536,-84.401675,0,,,,,1
114124,114124,MCDANIEL ST SW @ STEPHENS ST SW,0 MCDANIEL ST SW & STEPHENS ST SW,33.734075,-84.401695,,,,,,1
114132,114132,MCDANIEL ST SW @ ROCKWELL ST SW,0 MCDANIEL ST SW & ROCKWELL ST SW,33.732133,-84.401649,,,,,,1
114134,114134,MCDANIEL ST SW @ ROCKWELL ST SW,0 MCDANIEL ST SW & ROCKWELL ST SW,33.731999,-84.401736,,,,,,1
114136,114136,MCDANIEL ST SW @ GARDNER ST SW,0 MCDANIEL ST SW & GARDNER ST SW,33.73071,-84.401756,,,,,,1
114138,114138,MCDANIEL ST SW @ GARDNER ST SW,0 MCDANIEL & GARDNER,33.730359,-84.401563,0,,,,,1
114140,114140,MCDANIEL ST SW @ MARY ST SW,0 MCDANIEL ST SW & MARY ST SW,33.729358,-84.401657,0,,,,,1
114142,114142,MCDANIEL ST SW @ MARY ST SW,0 MCDANIEL & MARY,33.729201,-84.401575,0,,,,,1
114144,114144,MCDANIEL ST SW @ ARTHUR ST SW,0 MCDANIEL ST SW & ARTHUR ST SW,33.728176,-84.401678,,,,,,1
114146,114146,MCDANIEL ST SW @ ARTHUR ST SW,0 MCDANIEL & ARTHUR,33.727833,-84.401527,0,,,,,1
114152,114152,OGLETHORPE AVE SW @ EVANS ST SW,,33.735793,-84.415206,,,,,,1
114166,114166,LEE ST SW @ POOLE PL SW,0 LEE ST SW & POOLE PL SW,33.738927,-84.414032,0,,,,,1
114168,114168,LEE ST SW @ OAK ST SW,0 LEE & OAK,33.740532,-84.413988,0,,,,,1
114170,114170,WINDSOR ST @ GLENN ST SW,0 WINDSOR & GLENN,33.73859,-84.39812,,,,,,1
114180,907627,RALPH D ABERNATHY BLVD @ MCDANIEL STSW,0 RALPH DAVID ABERNATHY BLVD SW & MCDANIEL ST SW,33.737147,-84.40227,0,,,,,0
114200,907629,RALPH D ABERNATHY BLVD @ HUMPHRIES ST SW,RALPH DAVID ABERNATHY BLVD SW & HUMPHRIES ST SW,33.736513,-84.404912,0,,,,,1
114204,907683,RALPH D ABERNATHY BLVD SW @ MCDANIEL ST SW,0 RALPH DAVID ABERNATHY BLVD SW & MCDANIEL ST SW,33.736927,-84.401359,0,,,,,1
114210,907684,RALPH DAVID ABERNATH BLVD @ WINDSOR S,0 RALPH DAVID ABERNATHY BLVD SW & WINDSOR ST SW,33.736862,-84.397915,0,,,,,1
114214,907648,RALPH D ABERNATHY BLVD @ IRA ST,RALPH DAVID ABERNATH BLVD & IRA ST,33.737054,-84.399739,0,,,,,1
114236,114236,MCDANIEL ST @ STEPHENS ST,0 MCDANIEL ST SW & STEPHENS ST SW,33.734075,-84.401608,,,,,,1
114238,114238,RALPH D ABERNATHY BLVD @ METROPOLITAN PKWY SW,0 RALPH DAVID ABERNATH & METROPOLITAN,33.738157,-84.40843,0,,,,,1
114900,114900,WEST END STATION,0 LEE  ST  SW & OGLETHORPE AVE SW,33.735899,-84.413542,,,,,,1
115002,115002,PRYOR ST SW @ RICHARDSON ST SW,0 PRYOR ST SW & RICHARDSON ST SW,33.740766,-84.394582,,,,,,0
